,id,address,province,location,location_aed,latitude,longitude,available,hours,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
10954,12680,margaretha van oostenrijkstraat ,west-vlaanderen,Kantoor,"margaretha van oostenrijkstraat ,8380.0,zeebrugge,Belgium",51.2888764,3.2325427,Non-Nee,7u30-17u,,,,,,,
10955,12681,zoning industriel du vieux pont,hainaut,A l entrée de site au niveau de la bascule (local de garde),"zoning industriel du vieux pont,7900.0,leuze-en-hainaut,Belgium",50.6030692,3.6272756,Oui-Ja,24/24 et 7j/7,,,,,,,
10956,12682,zoning industriel du vieux pont,hainaut,Bureau pour les documents du transport en Logistique (Cold store).,"zoning industriel du vieux pont,7900.0,leuze-en-hainaut,Belgium",50.6030692,3.6272756,Oui-Ja,,,,,,,,
10957,12683,zoning industriel du vieux pont,hainaut,Entrée des bureaux de service agronomie ,"zoning industriel du vieux pont,7900.0,leuze-en-hainaut,Belgium",50.6030692,3.6272756,Oui-Ja,,,,,,,,
10958,12684,rue du chateau de la bawette ,brabant wallon,Accueil,"rue du chateau de la bawette ,1300.0,wavre,Belgium",50.7289697,4.5986509,Non-Nee,,,,,,,,
10959,12685,rue de la procession,hainaut,Accueil,"rue de la procession,7780.0,comines,Belgium",50.7676503,2.9982216,Non-Nee,,,,,,,,
10960,12686,quai le compiegne,liege,Accueil,"quai le compiegne,4500.0,huy,Belgium",50.5187076,5.239582899999999,Non-Nee,,,,,,,,
10961,12687,port de statte,liege,Accueil,"port de statte,4500.0,huy,Belgium",50.5268512,5.221709,Non-Nee,,,,,,,,
10962,12688,gemeneweideweg-zuid,west-vlaanderen,buitengevel infohuis(start prikkelpad),"gemeneweideweg-zuid,8310.0,brugge,Belgium",51.1979277,3.268135,Oui-Ja,,,,,,,,
10963,12689,route de moustier,hainaut,Entrée,"route de moustier,7911.0,frasnes-lez-anvaing,Belgium",50.6589026,3.6161732,Non-Nee,,,,,,,,
10964,12690,rue de la gare,liege,Rez-de-chaussée ,"rue de la gare,4102.0,ougree,Belgium",50.6070665,5.5358488,Heures de bureau ,08h00-17h00,,,,,,,
10965,12691,andre dumontlaan ,limburg,"in huisartspraktijk, gelijkvloers, naast de radiator links","andre dumontlaan ,3600.0,genk,Belgium",50.9920941,5.5351747,,,,,,,,,
10966,12692,tessenderlosesteenweg,limburg,aanwezig binnen  woonzorgcentrum Huize romi op de gelijkvloerse verdieping.,"tessenderlosesteenweg,3583.0,paal,Belgium",51.0417106,5.1694683,Non-Nee,,,,,,,,
10967,12693,lange rekstraat,oost-vlaanderen,EHBO gebouw Aquarena,"lange rekstraat,9100.0,sint-niklaas,Belgium",51.1691294,4.186339,,,,,,,,,
10968,12698,konining astridlaan ,west-vlaanderen,"OC Lauwe - ""Het Applauws""","konining astridlaan ,8930.0,menen,Belgium",50.7967978,3.1811607,Oui-Ja,altijd - hangt buiten,,,,,,,
10969,12700,rue des fusilles,hainaut,Entrée du hangar 3,"rue des fusilles,6041.0,gosselies,Belgium",50.4553243,4.4476519,Heures de bureau,07h00 - 18h00,,,,,,,
10970,12703,gaversesteenweg,oost-vlaanderen,school,"gaversesteenweg,9820.0,melsen,Belgium",50.9750979,3.7206082,Oui-Ja,,,,,,,,
10971,12706,kerkstraat ,west-vlaanderen,Supermarkt,"kerkstraat ,8370.0,blankenberge,Belgium",51.3098701,3.1355097,Oui-Ja,08.00-19.00,,,,,,,
10972,12707,helen-bosstraat,vlaams-brabant,"Buitengevel, gemeentehuis","helen-bosstraat,3350.0,linter,Belgium",50.8091337,5.0705746,Oui-Ja,,,,,,,,
10973,12708,geldenaaksebaan,vlaams-brabant,Proximus gebouw inkom,"geldenaaksebaan,3001.0,heverlee,Belgium",50.8649959,4.7111768,,,,,,,,,
10974,12709,koning albert ii-laan,bruxelles-brussel,13e verdieping naast receptie,"koning albert ii-laan,1000.0,brussel,Belgium",50.8607832,4.3573496,Non-Nee,,,,,,,,
10975,12711,gebr. de smetstraat,oost-vlaanderen,gebouw B 3e verdiep,"gebr. de smetstraat,9000.0,gent,Belgium",51.062379,3.7069419,,,,,,,,,
10976,12712,gebr. de smetstraat,oost-vlaanderen,gebouw M naast lokaal M224,"gebr. de smetstraat,9000.0,gent,Belgium",51.062379,3.7069419,,,,,,,,,
10977,12713,belgieplein,bruxelles-brussel,lokaal achter het onthaal,"belgieplein,1020.0,laken,Belgium",50.8981287,4.3376871,,,,,,,,,
10978,12714,culliganlaan,vlaams-brabant,gebouw Madison eerste verdieping gang naar de toiletten,"culliganlaan,1831.0,diegem,Belgium",50.8859036,4.4509872,,,,,,,,,
10979,12715,kolenbergstraat,limburg,in de infirmerie,"kolenbergstraat,3545.0,halen,Belgium",50.9729245,5.0941642,Non-Nee,,,,,,,,
10980,12716,geldenaaksebaan,vlaams-brabant,blok C inkom,"geldenaaksebaan,3001.0,heverlee,Belgium",50.8649959,4.7111768,Non-Nee,,,,,,,,
10981,12717,sint-guduladreef,vlaams-brabant,in de feestzaal,"sint-guduladreef,1785.0,merchtem,Belgium",50.9169556,4.27859,Non-Nee,,,,,,,,
10982,12718,j. stallaertstraat,vlaams-brabant,in de hoofdingang,"j. stallaertstraat,1785.0,merchtem,Belgium",50.9528559,4.2428624,Non-Nee,,,,,,,,
10983,12719,a. dansaertstraat,bruxelles-brussel,onthaal,"a. dansaertstraat,1000.0,brussel,Belgium",50.8513406,4.3447671,Non-Nee,,,,,,,,
10984,12720,laerbeeklaan,bruxelles-brussel,onthaal,"laerbeeklaan,1090.0,jette,Belgium",50.8848606,4.3088853,Non-Nee,,,,,,,,
10985,12721,kleine zavel,bruxelles-brussel,gang naar kleine concertzaal,"kleine zavel,1000.0,brussel,Belgium",50.8396246,4.3568894,Non-Nee,,,,,,,,
10986,12722,zespenningenstraat,bruxelles-brussel,overzijde onthaal,"zespenningenstraat,1000.0,brussel,Belgium",50.8469528,4.3444436,Non-Nee,,,,,,,,
10987,12723,nijverheidskaai,bruxelles-brussel,onthaal,"nijverheidskaai,1070.0,anderlecht,Belgium",50.8441113,4.3246352,Non-Nee,,,,,,,,
10988,12724,karel suykensstraat,antwerpen,Buitenkast inkom Gemeenschapshuis,"karel suykensstraat,2880.0,eikevliet,Belgium",51.094733,4.3017509,Oui-Ja,,,,,,,,
